variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60,raw_ret,regime,entry_ma20_dist,entry_next_body,policy,risk_budget
ef_close6_cond_ext60,train,2023-03-24,9730,코센,2023-03-31,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.5259896729776248,1.0974729241877257,0.6176896551724138,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,train,2023-05-23,336570,원텍,2023-05-31,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.2851758793969849,0.4038800705467372,0.6644816625916871,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,train,2024-05-02,175140,휴먼테크놀로지,2024-05-10,2024-05-13,2024-06-26,0.0749753761969904,MAX,0.3782608695652174,0.3827655310621242,0.0749753761969904,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,train,2024-12-12,285490,노바텍,2024-12-19,2024-12-20,2025-03-06,-0.0017261146496815,TRAIL,0.3157152924594785,0.213857998289136,-0.0017261146496815,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,train,2025-05-09,82270,젬백스,2025-05-16,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.303030303030303,0.6844547563805105,0.6749431664411367,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,post,2025-09-17,89890,코세스,2025-09-24,2025-09-25,2025-11-25,0.56575,TRAIL,0.2888888888888888,0.9328859060402684,0.56575,BULL,0.0,0.0,current_best,1.0
ef_close6_cond_ext60,pre,2012-06-12,44380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021,TRAIL,0.3907849829351535,0.3378995433789954,0.018021021021021,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2012-08-14,38290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.1586954474097331,MAX,0.2540834845735027,0.3775,0.1586954474097331,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2013-02-22,48830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE,0.3985507246376811,0.7380352644836272,-0.063,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2013-07-18,6840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.4977272727272727,0.1347840909090909,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2013-09-26,29480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.4626436781609195,0.359375,0.1252608695652174,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE,0.2760180995475113,0.3345410628019323,-0.063,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2015-01-09,5110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.3756944444444444,1.453151618398637,0.4742727272727273,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2015-02-06,28300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.4330882352941176,0.5906432748538012,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2015-03-25,99830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.441776119402985,TRAIL,0.3501577287066246,1.5079113924050631,0.441776119402985,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2015-04-29,49720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.3658536585365853,1.4477611940298507,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2016-03-15,43710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.4309165526675786,1.3169572107765453,0.4328974358974359,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.2699115044247787,0.608540925266904,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2016-12-12,25820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.152688622754491,MAX,0.475,0.3231552162849873,0.152688622754491,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2017-02-23,8700,아남전자,2017-03-03,2017-03-06,2017-04-04,1.100825136612022,TRAIL,0.371875,0.4479638009049774,1.100825136612022,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2017-11-16,7390,네이처셀,2017-11-23,2017-11-24,2017-12-08,0.3160661478599221,TRAIL,0.4294117647058823,0.4088397790055249,0.3160661478599221,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2018-01-16,86890,이수앱지스,2018-01-23,2018-01-24,2018-02-07,-0.0520566037735849,TRAIL,0.3703056768558952,0.6937869822485208,-0.0520566037735849,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2018-04-20,28300,에이치엘비,2018-04-27,2018-04-30,2018-05-08,-0.123,STOP,0.4836795252225519,0.9940828402366864,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE,0.5032894736842105,0.7531718569780853,-0.063,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2019-04-11,43370,평화정공,2019-04-18,2019-04-19,2019-04-26,-0.123,STOP,0.2542056074766355,0.6212121212121212,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-01-17,66310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.123,STOP,0.3588039867109635,0.6323210412147505,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-04-07,270870,뉴트리,2020-04-14,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.4173228346456692,0.3368421052631579,0.5187391304347826,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-08-03,6120,SK디스커버리,2020-08-10,2020-08-11,2020-08-18,-0.0276575342465753,TRAIL,0.4533333333333333,0.822429906542056,-0.0276575342465753,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-08-25,104460,디와이피엔에프,2020-09-01,2020-09-02,2020-09-22,-0.123,STOP,0.4180602006688963,0.5193089430894309,-0.123,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-11-30,23960,에쓰씨엔지니어링,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.3522727272727273,0.375,0.5342750642673522,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2020-12-21,1120,LG상사,2020-12-29,2020-12-30,2021-02-16,0.1074294478527607,MAX,0.3567134268537074,0.589171974522293,0.1074294478527607,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2021-06-17,36170,클라우드에어,2021-06-24,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE,0.4474187380497132,0.9961832061068704,-0.063,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2022-11-14,4360,세방,2022-11-21,2022-11-22,2023-02-17,1.095434004474273,MAX,0.2645631067961165,0.5725190839694656,1.095434004474273,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2023-03-24,9730,코센,2023-03-31,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.5259896729776248,1.0974729241877257,0.6176896551724138,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2023-05-23,336570,원텍,2023-05-31,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.2851758793969849,0.4038800705467372,0.6644816625916871,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2024-05-02,175140,휴먼테크놀로지,2024-05-10,2024-05-13,2024-06-26,0.0749753761969904,MAX,0.3782608695652174,0.3827655310621242,0.0749753761969904,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2024-12-12,285490,노바텍,2024-12-19,2024-12-20,2025-03-06,-0.0017261146496815,TRAIL,0.3157152924594785,0.213857998289136,-0.0017261146496815,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,train,2025-05-09,82270,젬백스,2025-05-16,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.303030303030303,0.6844547563805105,0.6749431664411367,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,post,2025-09-17,89890,코세스,2025-09-24,2025-09-25,2025-11-25,0.56575,TRAIL,0.2888888888888888,0.9328859060402684,0.56575,BULL,0.0,0.0,router_cash_bear,1.0
ef_close6_cond_ext60,pre,2012-06-12,44380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021,TRAIL,0.3907849829351535,0.3378995433789954,0.018021021021021,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2012-08-14,38290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.1586954474097331,MAX,0.2540834845735027,0.3775,0.1586954474097331,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2013-02-22,48830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE,0.3985507246376811,0.7380352644836272,-0.063,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2013-07-18,6840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.4977272727272727,0.1347840909090909,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2013-09-26,29480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.4626436781609195,0.359375,0.1252608695652174,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE,0.2760180995475113,0.3345410628019323,-0.063,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2015-01-09,5110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.3756944444444444,1.453151618398637,0.4742727272727273,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2015-02-06,28300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.4330882352941176,0.5906432748538012,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2015-03-25,99830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.441776119402985,TRAIL,0.3501577287066246,1.5079113924050631,0.441776119402985,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2015-04-29,49720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.3658536585365853,1.4477611940298507,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2016-03-15,43710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.4309165526675786,1.3169572107765453,0.4328974358974359,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.2699115044247787,0.608540925266904,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2016-12-12,25820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.152688622754491,MAX,0.475,0.3231552162849873,0.152688622754491,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2017-02-23,8700,아남전자,2017-03-03,2017-03-06,2017-04-04,1.100825136612022,TRAIL,0.371875,0.4479638009049774,1.100825136612022,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2017-11-16,7390,네이처셀,2017-11-23,2017-11-24,2017-12-08,0.3160661478599221,TRAIL,0.4294117647058823,0.4088397790055249,0.3160661478599221,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2018-01-16,86890,이수앱지스,2018-01-23,2018-01-24,2018-02-07,-0.0520566037735849,TRAIL,0.3703056768558952,0.6937869822485208,-0.0520566037735849,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2018-04-20,28300,에이치엘비,2018-04-27,2018-04-30,2018-05-08,-0.123,STOP,0.4836795252225519,0.9940828402366864,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE,0.5032894736842105,0.7531718569780853,-0.063,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2019-04-11,43370,평화정공,2019-04-18,2019-04-19,2019-04-26,-0.123,STOP,0.2542056074766355,0.6212121212121212,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-01-17,66310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.123,STOP,0.3588039867109635,0.6323210412147505,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-04-07,270870,뉴트리,2020-04-14,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.4173228346456692,0.3368421052631579,0.5187391304347826,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-08-03,6120,SK디스커버리,2020-08-10,2020-08-11,2020-08-18,-0.0276575342465753,TRAIL,0.4533333333333333,0.822429906542056,-0.0276575342465753,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-08-25,104460,디와이피엔에프,2020-09-01,2020-09-02,2020-09-22,-0.123,STOP,0.4180602006688963,0.5193089430894309,-0.123,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-11-30,23960,에쓰씨엔지니어링,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.3522727272727273,0.375,0.5342750642673522,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2020-12-21,1120,LG상사,2020-12-29,2020-12-30,2021-02-16,0.1074294478527607,MAX,0.3567134268537074,0.589171974522293,0.1074294478527607,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2021-06-17,36170,클라우드에어,2021-06-24,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE,0.4474187380497132,0.9961832061068704,-0.063,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2022-11-14,4360,세방,2022-11-21,2022-11-22,2023-02-17,1.095434004474273,MAX,0.2645631067961165,0.5725190839694656,1.095434004474273,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2023-03-24,9730,코센,2023-03-31,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.5259896729776248,1.0974729241877257,0.6176896551724138,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2023-05-23,336570,원텍,2023-05-31,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.2851758793969849,0.4038800705467372,0.6644816625916871,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2024-05-02,175140,휴먼테크놀로지,2024-05-10,2024-05-13,2024-06-26,0.0749753761969904,MAX,0.3782608695652174,0.3827655310621242,0.0749753761969904,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2024-12-12,285490,노바텍,2024-12-19,2024-12-20,2025-03-06,-0.0017261146496815,TRAIL,0.3157152924594785,0.213857998289136,-0.0017261146496815,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,train,2025-05-09,82270,젬백스,2025-05-16,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.303030303030303,0.6844547563805105,0.6749431664411367,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,post,2025-09-17,89890,코세스,2025-09-24,2025-09-25,2025-11-25,0.56575,TRAIL,0.2888888888888888,0.9328859060402684,0.56575,BULL,0.0,0.0,router_half_sideways,1.0
ef_close6_cond_ext60,pre,2012-06-12,44380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021,TRAIL,0.3907849829351535,0.3378995433789954,0.018021021021021,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2012-08-14,38290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.1586954474097331,MAX,0.2540834845735027,0.3775,0.1586954474097331,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2013-02-22,48830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE,0.3985507246376811,0.7380352644836272,-0.063,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2013-07-18,6840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.4977272727272727,0.1347840909090909,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2013-09-26,29480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.4626436781609195,0.359375,0.1252608695652174,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE,0.2760180995475113,0.3345410628019323,-0.063,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2015-01-09,5110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.3756944444444444,1.453151618398637,0.4742727272727273,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2015-02-06,28300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.4330882352941176,0.5906432748538012,-0.123,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2015-03-25,99830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.441776119402985,TRAIL,0.3501577287066246,1.5079113924050631,0.441776119402985,BULL,0.0,0.0,router_strict_sideways,1.0
