variant,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason
bma20_ext20,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
bma20_ext20,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
bma20_ext20,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
bma20_ext20,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
bma20_ext20,train,2023-05-23,336570,원텍,2023-06-01,2023-08-28,0.6644816625916871,MAX
bma20_ext20,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
bma20_ext20,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL
bma20_ext20,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
bma20_ext20,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
bma20_ext20,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL
bma20_ext20,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
bma20_ext25,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL
bma20_ext25,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
bma20_ext25,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
bma20_ext25,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
bma20_ext25,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
bma20_ext25,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL
bma20_ext25,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
bma20_ext25,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
bma20_ext25,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
bma20_ext25,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
bma20_ext25,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
bma20_ext25,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
bma20_ext25,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX
bma20_ext25,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL
bma20_ext25,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
bma20_ext25,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
bma20_ext25,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
bma20_ext25,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL
bma20_ext25,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL
bma20_ext25,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
bma20_ext25,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX
bma20_ext25,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
bma20_ext25,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
bma20_ext25,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
bma20_ext25,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
bma20_ext25,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
bma20_ext25,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
bma20_ext25,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
bma20_ext25,train,2023-05-23,336570,원텍,2023-06-01,2023-08-28,0.6644816625916871,MAX
bma20_ext25,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
bma20_ext25,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL
bma20_ext25,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
bma20_ext25,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
bma20_ext25,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL
bma20_ext25,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
bma20_ext30,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL
bma20_ext30,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
bma20_ext30,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
bma20_ext30,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
bma20_ext30,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
bma20_ext30,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL
bma20_ext30,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
bma20_ext30,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
bma20_ext30,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
bma20_ext30,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
bma20_ext30,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
bma20_ext30,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
bma20_ext30,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX
bma20_ext30,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL
bma20_ext30,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
bma20_ext30,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
bma20_ext30,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
bma20_ext30,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL
bma20_ext30,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL
bma20_ext30,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
bma20_ext30,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX
bma20_ext30,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
bma20_ext30,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
bma20_ext30,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
bma20_ext30,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
bma20_ext30,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
bma20_ext30,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
bma20_ext30,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
bma20_ext30,train,2023-05-23,336570,원텍,2023-06-01,2023-07-14,0.2952885085574572,MAX
bma20_ext30,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
bma20_ext30,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL
bma20_ext30,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
bma20_ext30,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
bma20_ext30,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL
bma20_ext30,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
Kma60_ext20,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
Kma60_ext20,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP
Kma60_ext20,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
Kma60_ext20,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
Kma60_ext20,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-22,-0.061309037900874636,MAX
Kma60_ext20,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL
Kma60_ext20,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
Kma60_ext20,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
Kma60_ext20,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
Kma60_ext20,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
Kma60_ext20,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL
Kma60_ext20,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
Kma60_ext20,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX
Kma60_ext20,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-03,0.01827659574468085,MAX
Kma60_ext20,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
Kma60_ext20,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
Kma60_ext20,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
Kma60_ext20,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX
Kma60_ext20,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
Kma60_ext20,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
Kma60_ext20,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
Kma60_ext20,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
Kma60_ext20,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
Kma60_ext20,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL
Kma60_ext20,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
Kma60_ext20,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
Kma60_ext20,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL
Kma60_ext20,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL
Kma60_ext20,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP
Kma60_ext20,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX
Kma60_ext20,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL
Kma60_ext20,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
Kma60_ext20,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
Kma60_ext20,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
Kma60_ext20,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL
Kma60_ext20,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL
Kma60_ext20,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
Kma60_ext25,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
Kma60_ext25,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP
Kma60_ext25,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
Kma60_ext25,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
Kma60_ext25,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-22,-0.061309037900874636,MAX
Kma60_ext25,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL
Kma60_ext25,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
Kma60_ext25,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
Kma60_ext25,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
Kma60_ext25,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
Kma60_ext25,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL
Kma60_ext25,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
Kma60_ext25,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX
Kma60_ext25,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-03,0.01827659574468085,MAX
Kma60_ext25,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
Kma60_ext25,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
Kma60_ext25,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
Kma60_ext25,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX
Kma60_ext25,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
Kma60_ext25,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
Kma60_ext25,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
Kma60_ext25,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
Kma60_ext25,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
Kma60_ext25,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL
Kma60_ext25,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
Kma60_ext25,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
Kma60_ext25,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL
Kma60_ext25,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL
Kma60_ext25,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP
Kma60_ext25,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX
Kma60_ext25,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL
Kma60_ext25,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
Kma60_ext25,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
Kma60_ext25,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
Kma60_ext25,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL
Kma60_ext25,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL
Kma60_ext25,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
Kma60_ext30,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
Kma60_ext30,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP
Kma60_ext30,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
Kma60_ext30,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
Kma60_ext30,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-22,-0.061309037900874636,MAX
Kma60_ext30,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL
Kma60_ext30,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
Kma60_ext30,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
Kma60_ext30,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
Kma60_ext30,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
Kma60_ext30,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL
Kma60_ext30,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
Kma60_ext30,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX
Kma60_ext30,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-03,0.01827659574468085,MAX
Kma60_ext30,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
Kma60_ext30,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
Kma60_ext30,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
Kma60_ext30,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX
Kma60_ext30,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
Kma60_ext30,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
Kma60_ext30,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
Kma60_ext30,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
Kma60_ext30,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
Kma60_ext30,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL
Kma60_ext30,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
Kma60_ext30,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
Kma60_ext30,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL
