variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
body>=2,pre,2016-04-11,036260,웰메이드예당,2016-04-19,2016-04-20,2016-04-21,-0.083,EARLY_FAIL,0.4,0.8065693430656934
body>=2,pre,2016-04-26,127710,아시아경제,2016-05-03,2016-05-04,2016-05-09,-0.083,EARLY_FAIL,0.5294748124330118,0.7907869481765835
body>=2,pre,2016-05-26,072020,중앙백신,2016-06-02,2016-06-03,2016-06-16,-0.016574660633484162,TRAIL,0.37943262411347517,0.8737541528239202
body>=2,pre,2016-07-15,191420,테고사이언스,2016-07-22,2016-07-25,2016-08-05,0.24849700598802393,TRAIL,0.35714285714285715,0.6727941176470589
body>=2,pre,2016-08-22,112240,에스에프씨,2016-08-29,2016-08-30,2016-08-31,-0.083,EARLY_FAIL,0.3047619047619048,0.3953488372093023
body>=2,pre,2017-04-27,063570,한국전자금융,2017-05-10,2017-05-11,2017-05-16,-0.083,EARLY_FAIL,0.2505694760820046,0.4115755627009646
body>=2,pre,2017-10-23,024720,한국콜마홀딩스,2017-10-30,2017-10-31,2017-12-12,-0.11220770877944326,MAX,0.2594859241126071,0.2968253968253968
body>=2,pre,2018-01-04,052790,액토즈소프트,2018-01-11,2018-01-12,2018-02-27,0.08341975308641975,MAX,0.27249357326478146,0.3231292517006803
body>=2,pre,2018-03-13,026040,제이에스티나,2018-03-20,2018-03-21,2018-04-26,-0.024671826625386997,TRAIL,0.5149638802889577,0.6822916666666666
body>=2,pre,2018-05-02,263770,유에스티,2018-05-10,2018-05-11,2018-05-15,0.19144444444444444,TRAIL,0.5007256894049347,0.9138888888888889
body>=2,pre,2018-06-19,177830,파버나인,2018-06-26,2018-06-27,2018-06-28,-0.083,EARLY_FAIL,0.5227882037533512,0.6164680390032503
body>=2,pre,2018-07-10,023440,제일제강,2018-07-17,2018-07-18,2018-07-19,-0.083,EARLY_FAIL,0.486652977412731,0.97165991902834
body>=2,pre,2018-12-26,215360,우리산업,2019-01-04,2019-01-07,2019-02-21,-0.05188268156424581,MAX,0.27348066298342544,0.20066334991708126
body>=2,pre,2019-04-04,037070,파세코,2019-04-11,2019-04-12,2019-04-16,-0.083,EARLY_FAIL,0.4665757162346521,0.6947976878612717
body>=2,pre,2019-06-25,060250,NHN한국사이버결제,2019-07-02,2019-07-03,2019-08-14,0.05379012345679012,MAX,0.3609625668449198,0.5141700404858299
body>=2,pre,2019-09-20,003415,쌍용양회우,2019-09-27,2019-09-30,2019-11-13,0.5479989484752892,MAX,0.28518971848225216,0.22672672672672672
body>=2,pre,2020-01-17,066310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.16770588235294118,TRAIL,0.3588039867109635,0.6323210412147505
body>=2,pre,2020-04-14,073490,이노와이어리스,2020-04-22,2020-04-23,2020-06-09,-0.06054716981132076,MAX,0.30589543937708563,0.3240058910162003
body>=2,pre,2020-09-08,306200,세아제강,2020-09-15,2020-09-16,2020-09-18,-0.083,EARLY_FAIL,0.31956521739130433,0.9532908704883227
body>=2,pre,2020-11-02,217620,디딤,2020-11-09,2020-11-10,2020-11-12,-0.083,EARLY_FAIL,0.3783783783783784,0.5163934426229508
body>=2,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.3522727272727273,0.375
body>=2,pre,2021-05-20,011200,HMM,2021-05-27,2021-05-28,2021-06-01,-0.083,EARLY_FAIL,0.38327904451682954,1.6618497109826589
body>=2,pre,2021-06-17,036170,클라우드에어,2021-06-24,2021-06-25,2021-07-20,-0.253,STOP,0.4474187380497132,0.9961832061068703
body>=2,pre,2022-01-04,267320,나인테크,2022-01-11,2022-01-12,2022-01-25,0.08517204301075268,TRAIL,0.29977628635346754,0.4752475247524752
body>=2,pre,2022-04-19,004985,성신양회우,2022-04-26,2022-04-27,2022-06-13,-0.23416883116883117,MAX,0.5140845070422535,0.4152823920265781
body>=2,train,2022-08-30,014620,성광벤드,2022-09-06,2022-09-07,2022-09-13,-0.083,EARLY_FAIL,0.34234234234234234,0.5488372093023256
body>=2,train,2022-11-14,004360,세방,2022-11-21,2022-11-22,2023-01-04,0.5719440715883669,MAX,0.2645631067961165,0.5725190839694656
body>=2,train,2023-03-24,009730,코센,2023-03-31,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.5259896729776248,1.0974729241877257
body>=2,train,2023-07-27,347770,핌스,2023-08-03,2023-08-04,2023-08-08,-0.083,EARLY_FAIL,0.339086859688196,0.3071324599708879
body>=2,train,2023-11-17,065060,지엔코,2023-11-24,2023-11-27,2024-01-11,-0.17613915857605178,MAX,0.26238532110091745,0.379746835443038
body>=2,train,2024-02-07,000540,흥국화재,2024-02-16,2024-02-19,2024-02-22,-0.083,EARLY_FAIL,0.4953271028037383,0.4219269102990033
body>=2,train,2024-11-21,464080,에스오에스랩,2024-11-28,2024-11-29,2024-12-04,-0.083,EARLY_FAIL,0.44660194174757284,0.5488721804511278
body>=2,train,2025-02-10,205100,엑셈,2025-02-17,2025-02-18,2025-02-20,-0.083,EARLY_FAIL,0.268859649122807,0.2596685082872928
body>=2,train,2025-03-04,098120,마이크로컨텍솔,2025-03-11,2025-03-12,2025-04-23,0.36165324384787473,MAX,0.4940796555435953,0.8978549540347294
body>=2,train,2025-04-29,000157,두산2우B,2025-05-09,2025-05-12,2025-05-22,0.30748387096774193,TRAIL,0.44844517184942717,0.6513513513513514
body>=2,train,2025-07-08,034020,두산에너빌리티,2025-07-15,2025-07-16,2025-08-28,-0.03232098765432099,MAX,0.3716216216216216,2.2096385542168675
body>=2,post,2025-09-17,089890,코세스,2025-09-24,2025-09-25,2025-11-13,0.956375,MAX,0.28888888888888886,0.9328859060402684
body>=2,post,2025-11-26,161390,한국타이어앤테크놀로지,2025-12-03,2025-12-04,2026-05-20,-0.05722647527910686,MAX,0.2934232715008432,0.45521472392638035
loc>=75,pre,2015-04-07,008250,이건산업,2015-04-14,2015-04-15,2015-04-17,-0.083,EARLY_FAIL,0.37169811320754714,1.015209125475285
loc>=75,pre,2015-05-07,036200,유니셈,2015-05-14,2015-05-15,2015-06-29,0.5926521739130435,MAX,0.4066437571592211,2.8973214285714284
loc>=75,pre,2015-07-10,004410,서울식품,2015-07-17,2015-07-20,2015-08-18,-0.003,TRAIL,0.3142857142857143,0.5076923076923077
loc>=75,pre,2015-10-29,013000,세우글로벌,2015-11-05,2015-11-06,2015-11-09,-0.083,EARLY_FAIL,0.2558139534883721,0.27976190476190477
loc>=75,pre,2015-11-19,065270,플렉스컴,2015-11-26,2015-11-27,2015-12-02,-0.083,EARLY_FAIL,0.4649122807017544,0.6285714285714286
loc>=75,pre,2015-12-03,089980,상아프론테크,2015-12-10,2015-12-11,2015-12-16,-0.083,EARLY_FAIL,0.3535433070866142,0.9126506024096386
loc>=75,pre,2016-02-19,131400,액트,2016-02-26,2016-02-29,2016-03-04,-0.083,EARLY_FAIL,0.3468085106382979,0.6725978647686833
loc>=75,pre,2016-03-07,002620,제일약품,2016-03-14,2016-03-15,2016-04-27,0.5614820295983086,MAX,0.2973568281938326,0.5709342560553633
loc>=75,pre,2016-05-26,072020,중앙백신,2016-06-02,2016-06-03,2016-06-16,-0.016574660633484162,TRAIL,0.37943262411347517,0.8737541528239202
loc>=75,pre,2016-07-15,191420,테고사이언스,2016-07-22,2016-07-25,2016-08-05,0.24849700598802393,TRAIL,0.35714285714285715,0.6727941176470589
loc>=75,pre,2016-08-22,112240,에스에프씨,2016-08-29,2016-08-30,2016-08-31,-0.083,EARLY_FAIL,0.3047619047619048,0.3953488372093023
loc>=75,pre,2017-04-27,063570,한국전자금융,2017-05-10,2017-05-11,2017-05-16,-0.083,EARLY_FAIL,0.2505694760820046,0.4115755627009646
loc>=75,pre,2017-05-24,036000,예림당,2017-05-31,2017-06-01,2017-07-03,0.3214228432563791,TRAIL,0.2632258064516129,0.47619047619047616
loc>=75,pre,2017-10-23,024720,한국콜마홀딩스,2017-10-30,2017-10-31,2017-12-12,-0.11220770877944326,MAX,0.2594859241126071,0.2968253968253968
loc>=75,pre,2018-01-04,052790,액토즈소프트,2018-01-11,2018-01-12,2018-02-27,0.08341975308641975,MAX,0.27249357326478146,0.3231292517006803
loc>=75,pre,2018-03-06,241690,유니테크노,2018-03-13,2018-03-14,2018-04-25,-0.08165168539325843,MAX,0.29289940828402367,0.7883597883597884
loc>=75,pre,2018-05-02,263770,유에스티,2018-05-10,2018-05-11,2018-05-15,0.19144444444444444,TRAIL,0.5007256894049347,0.9138888888888889
loc>=75,pre,2018-06-19,177830,파버나인,2018-06-26,2018-06-27,2018-06-28,-0.083,EARLY_FAIL,0.5227882037533512,0.6164680390032503
loc>=75,pre,2018-07-10,023440,제일제강,2018-07-17,2018-07-18,2018-07-19,-0.083,EARLY_FAIL,0.486652977412731,0.97165991902834
loc>=75,pre,2018-11-20,950110,SBI핀테크솔루션즈,2018-11-27,2018-11-28,2019-01-14,0.060604240282685504,MAX,0.4777777777777778,0.4268292682926829
